,system_id,time,instantaneous_power_W,temperature_C,voltage,latitude,longitude,alnid,alnip,aluvd,aluvp,bld,blh,cape,cbh,cdir,cp,crr,csf,d2m,deg0l,dndza,dndzn,dwi,fdir,hcc,ie,ilspf,ishf,kx,lcc,lsf,lsp,lsrr,mcc,pev,ptype,skt,slhf,sp,ssr,ssrc,ssrd,ssrdc,str,strc,strd,strdc,t2m,tcc,tciw,tclw,tcwv,tisr,totalx,tp,tsr,tsrc,ttr,ttrc,u10,u100,u10n,uvb,v10,v100,wind
43,1293,2022-01-01 10:30:00,174.0,,,43.25,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1293,2022-01-01 14:30:00,174.0,,,43.25,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1293,2022-01-01 13:45:00,204.0,,,43.25,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1293,2022-01-01 10:45:00,216.0,,,43.25,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1293,2022-01-01 11:00:00,276.0,,,43.25,11.5,0.20051844,0.19150017,0.051861674,0.050685108,1122.4375,202.16821,0.40649414,168.84473,1043838.25,0.0,2.3283064e-10,0.0,279.8879,3596.6284,0.2025705,0.21120033,,610643.1,0.0,-1.781025e-05,0.10013276,-60.597366,-17.183123,0.96774143,0.0,2.7883798e-06,4.5076013e-07,0.0,-0.00010110106,1.0000458,283.62546,-194216.0,98860.4,896103.25,1145641.4,1041674.0,1328412.2,-213582.22,-373744.03,1131315.0,947967.75,280.7136,0.96774143,0.0,0.06978822,7.0983753,1959587.9,28.944857,2.881512e-06,1356799.4,1574932.0,-973238.5,-960628.6,1.0593704,1.2680676,1.2498865,98723.25,-0.40410024,-0.5950452,
48,1293,2022-01-01 10:15:00,144.0,,,43.25,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1293,2022-01-01 12:30:00,312.0,,,43.25,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1293,2022-01-01 15:15:00,84.0,,,43.25,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1293,2022-01-01 08:30:00,24.0,,,43.25,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1293,2022-01-01 08:45:00,24.0,,,43.25,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
